Book Title,Price (KES),Price (USD),Conversion Time
A Light in the Attic,51.77,0.4,2026-05-07 14:13:45
Tipping the Velvet,53.74,0.42,2026-05-07 14:13:45
Soumission,50.1,0.39,2026-05-07 14:13:45
Sharp Objects,47.82,0.37,2026-05-07 14:13:45
Sapiens: A Brief History of Humankind,54.23,0.42,2026-05-07 14:13:45
The Requiem Red,22.65,0.18,2026-05-07 14:13:45
The Dirty Little Secrets of Getting Your Dream Job,33.34,0.26,2026-05-07 14:13:45
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,0.14,2026-05-07 14:13:45
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,0.17,2026-05-07 14:13:45
The Black Maria,52.15,0.4,2026-05-07 14:13:45
